Sample in Buffer,Sample in Window,TRIGGER,top_i/DataPath_xN_0/U0/coreArea_2_core/ln/rmsNorm/rsqrtIn_payload[31:0],top_i/DataPath_xN_0/U0/coreArea_2_core/ln/rmsNorm/io_normOut_payload[15:0],top_i/DataPath_xN_0/U0/coreArea_2_core/ln/rmsNorm/io_toBeNorm_payload[15:0],top_i/DataPath_xN_0/U0/coreArea_2_core/stateGen_4/status_token[9:0],top_i/DataPath_xN_0/U0/coreArea_2_core/stateGen_4/status_layerCnt[4:0],top_i/DataPath_xN_0/U0/coreArea_2_core/axi/int_bus_payload_tuser[5:0],top_i/DataPath_xN_0/U0/coreArea_2_core/ln/rmsNorm/io_normOut_valid,top_i/DataPath_xN_0/U0/coreArea_2_core/ln/rmsNorm/io_toBeNorm_valid,top_i/DataPath_xN_0/U0/coreArea_2_core/ln/rmsNorm/isAttnLn,top_i/DataPath_xN_0/U0/coreArea_2_core/ln/rmsNorm/rsqrtIn_valid
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,UNSIGNED,HEX,HEX,HEX,HEX
73,73,0,3abf61df,9c4a,289e,000,00,11,0,0,0,0
74,74,0,3abf61df,9c4a,1d50,000,00,11,0,1,0,0
75,75,0,3abf61df,9c4a,a8c0,000,00,11,0,0,0,0
76,76,0,3abf61df,9c4a,2544,000,00,11,0,0,0,0
77,77,0,3abf61df,9c4a,08ed,000,00,11,0,0,0,0
78,78,0,3abf61df,9c4a,a228,000,00,11,0,1,0,0
79,79,0,3abf61df,9c4a,1931,000,00,11,0,0,0,0
80,80,0,3abf61df,9c4a,a2f6,000,00,11,0,0,0,0
81,81,0,3abf61df,9c4a,9dea,000,00,11,0,0,0,0
82,82,0,3abf61df,9c4a,1f7a,000,00,11,0,1,0,0
83,83,0,3abf61df,9c4a,96ac,000,00,11,0,0,0,0
84,84,0,3abf61df,9c4a,a39e,000,00,11,0,0,0,0
85,85,0,3abf61df,9c4a,98b6,000,00,11,0,0,0,0
86,86,0,3abf61df,9c4a,20d0,000,00,11,0,1,0,0
87,87,0,3abf61df,9c4a,254f,000,00,11,0,0,0,0
88,88,0,3abf61df,9c4a,2435,000,00,11,0,0,0,0
89,89,0,3abf61df,9c4a,a0a5,000,00,11,0,0,0,0
90,90,0,3abf61df,9c4a,29a0,000,00,11,0,1,0,0
91,91,0,3abf61df,9c4a,98a2,000,00,11,0,0,0,0
92,92,0,3abf61df,9c4a,a46c,000,00,11,0,0,0,0
93,93,0,3abf61df,9c4a,a0a5,000,00,11,0,0,0,0
94,94,0,3abf61df,9c4a,ab03,000,00,11,0,1,0,0
95,95,0,3abf61df,9c4a,265c,000,00,11,0,0,0,0
96,96,0,3abf61df,9c4a,a761,000,00,11,0,0,0,0
97,97,0,3abf61df,9c4a,2594,000,00,11,0,0,0,0
98,98,0,3abf635a,9c4a,a8f3,000,00,11,0,1,0,0
99,99,0,3abf635a,9c4a,a4c5,000,00,11,0,0,0,0
100,100,0,3abf635a,9c4a,a4c5,000,00,11,0,0,0,0
101,101,0,3abf635a,9c4a,a4c5,000,00,11,0,0,0,0
102,102,0,3abf6426,9c4a,a4d0,000,00,11,0,1,0,0
103,103,0,3abf6426,9c4a,a4cc,000,00,11,0,0,0,0
104,104,0,3abf6426,9c4a,1c8b,000,00,11,0,0,0,0
105,105,0,3abf6426,9c4a,9892,000,00,11,0,0,0,0
106,106,0,3abf645f,9c4a,9994,000,00,11,0,1,0,0
107,107,0,3abf645f,9c4a,236d,000,00,11,0,0,0,0
108,108,0,3abf645f,9c4a,236d,000,00,11,0,0,0,0
109,109,0,3abf645f,9c4a,236d,000,00,11,0,0,0,0
110,110,0,3abf658e,9c4a,236d,000,00,11,0,0,0,0
111,111,0,3abf658e,9c4a,a2d2,000,00,11,0,1,0,0
112,112,0,3abf658e,9c4a,a0dd,000,00,11,0,0,0,0
113,113,0,3abf658e,9c4a,1fde,000,00,11,0,0,0,0
114,114,0,3abf65fe,9c4a,9f72,000,00,11,0,0,0,0
115,115,0,3abf65fe,9c4a,a303,000,00,11,0,0,0,0
116,116,0,3abf65fe,9c4a,a303,000,00,11,0,0,0,0
117,117,0,3abf65fe,9c4a,a303,000,00,11,0,0,0,0
118,118,0,3abf66b7,9c4a,a303,000,00,11,0,0,0,0
119,119,0,3abf66b7,9c4a,a1c5,000,00,11,0,1,0,0
120,120,0,3abf66b7,9c4a,a41e,000,00,11,0,0,0,0
121,121,0,3abf66b7,9c4a,a61a,000,00,11,0,0,0,0
122,122,0,3abf7689,9c4a,24b7,000,00,11,0,0,0,0
123,123,0,3abf7689,9c4a,8972,000,00,11,0,0,0,0
124,124,0,3abf7689,9c4a,8972,000,00,11,0,0,0,0
125,125,0,3abf7689,9c4a,9f06,000,00,11,0,0,0,0
126,126,0,3abf8f1e,9c4a,a006,000,00,11,0,0,0,0
127,127,0,3abf8f1e,9c4a,a433,000,00,11,0,0,0,0
128,128,0,3abf8f1e,9c4a,a55f,000,00,11,0,1,0,0
129,129,0,3abf8f1e,9c4a,9f06,000,00,11,0,0,0,0
130,130,0,3abf9b5d,9c4a,9f06,000,00,11,0,0,0,0
131,131,0,3abf9b5d,9c4a,9f06,000,00,11,0,0,0,0
132,132,0,3abf9b5d,9c4a,9f06,000,00,11,0,0,0,0
133,133,0,3abf9b5d,9c4a,9f06,000,00,11,0,0,0,0
134,134,0,3abf9e42,9c4a,9f06,000,00,11,0,0,0,0
135,135,0,3abf9e42,9c4a,9f06,000,00,11,0,0,0,0
136,136,0,3abf9e42,9c4a,a40d,000,00,11,0,1,0,0
137,137,0,3abf9e42,9c4a,250e,000,00,11,0,0,0,0
138,138,0,3abf9e52,9c4a,a554,000,00,11,0,0,0,0
139,139,0,3abf9e52,9c4a,a8c8,000,00,11,0,0,0,0
140,140,0,3abf9e52,9c4a,a555,000,00,11,0,0,0,0
141,141,0,3abf9e52,9c4a,a555,000,00,11,0,0,0,0
142,142,0,3abf9e52,9c4a,a527,000,00,11,0,1,0,0
143,143,0,3abf9fc6,9c4a,a0da,000,00,11,0,0,0,0
144,144,0,3abf9fc6,9c4a,2514,000,00,11,0,0,0,0
145,145,0,3abf9fc6,9c4a,1892,000,00,11,0,0,0,0
146,146,0,3abf9fc6,9c4a,2bea,000,00,11,0,0,0,0
147,147,0,3abf9fc6,9c4a,a0da,000,00,11,0,0,0,0
148,148,0,3abf9fc6,9c4a,a0da,000,00,11,0,0,0,0
149,149,0,3abf9fc6,9c4a,a0da,000,00,11,0,0,0,0
150,150,0,3abf9fc6,9c4a,a0da,000,00,11,0,0,0,0
151,151,0,3abfa0d0,9c4a,a0da,000,00,11,0,0,0,0
152,152,0,3abfa0d0,9c4a,a0da,000,00,11,0,0,0,0
153,153,0,3abfa0d0,9c4a,ab26,000,00,11,0,1,0,0
154,154,0,3abfa0d0,9c4a,a8e3,000,00,11,0,0,0,0
155,155,0,3abfa0d0,9c4a,15ce,000,00,11,0,0,0,0
156,156,0,3abfa0d0,9c4a,2736,000,00,11,0,0,0,0
157,157,0,3abfa0d0,9c4a,1f8a,000,00,11,0,0,0,0
158,158,0,3abfa0d0,9c4a,1f8a,000,00,11,0,0,0,0
159,159,0,3abfa0d0,9c4a,1f8a,000,00,11,0,0,0,0
160,160,0,3abfa46b,9c4a,aa1e,000,00,11,0,1,0,0
161,161,0,3abfa46b,9c4a,28f5,000,00,11,0,0,0,0
162,162,0,3abfa46b,9c4a,248a,000,00,11,0,0,0,0
163,163,0,3abfa46b,9c4a,9dd2,000,00,11,0,0,0,0
164,164,0,3abfa46b,9c4a,21ce,000,00,11,0,0,0,0
165,165,0,3abfa46b,9c4a,28f5,000,00,11,0,0,0,0
166,166,0,3abfa46b,9c4a,28f5,000,00,11,0,0,0,0
167,167,0,3abfa46b,9c4a,28f5,000,00,11,0,0,0,0
168,168,0,3abfa679,9c4a,28f5,000,00,11,0,0,0,0
169,169,0,3abfa679,9c4a,28f5,000,00,11,0,0,0,0
170,170,0,3abfa679,9c4a,2841,000,00,11,0,1,0,0
171,171,0,3abfa679,9c4a,a3fa,000,00,11,0,0,0,0
172,172,0,3abfa679,9c4a,939b,000,00,11,0,0,0,0
173,173,0,3abfa679,9c4a,27b2,000,00,11,0,0,0,0
174,174,0,3abfa9ca,9c4a,8e49,000,00,11,0,0,0,0
175,175,0,3abfa9ca,9c4a,8e49,000,00,11,0,0,0,0
176,176,0,3abfa9ca,9c4a,8e49,000,00,11,0,0,0,0
177,177,0,3abfa9ca,9c4a,8e49,000,00,11,0,0,0,0
178,178,0,3abfa9ca,9c4a,2d81,000,00,11,0,1,0,0
179,179,0,3abfa9ca,9c4a,2637,000,00,11,0,0,0,0
180,180,0,3abfa9ca,9c4a,23eb,000,00,11,0,0,0,0
181,181,0,3abfa9ca,9c4a,2446,000,00,11,0,0,0,0
182,182,0,3abfa9ca,9c4a,a750,000,00,11,0,0,0,0
183,183,0,3abfa9ca,9c4a,a750,000,00,11,0,0,0,0
184,184,0,3abfa9ca,9c4a,a750,000,00,11,0,0,0,0
185,185,0,3abfc357,9c4a,a750,000,00,11,0,0,0,0
186,186,0,3abfc357,9c4a,21df,000,00,11,0,0,0,0
187,187,0,3abfc357,9c4a,a147,000,00,11,0,1,0,0
188,188,0,3abfc357,9c4a,946a,000,00,11,0,0,0,0
189,189,0,3abfc357,9c4a,9e5c,000,00,11,0,0,0,0
190,190,0,3abfc357,9c4a,21df,000,00,11,0,0,0,0
191,191,0,3abfc357,9c4a,21df,000,00,11,0,0,0,0
192,192,0,3abfd60d,9c4a,21df,000,00,11,0,0,0,0
193,193,0,3abfd60d,9c4a,21df,000,00,11,0,0,0,0
194,194,0,3abfd60d,9c4a,21df,000,00,11,0,0,0,0
195,195,0,3abfd60d,9c4a,265c,000,00,11,0,1,0,0
196,196,0,3abfd60d,9c4a,a5e0,000,00,11,0,0,0,0
197,197,0,3abfd60d,9c4a,9d26,000,00,11,0,0,0,0
198,198,0,3abfd60d,9c4a,a1d9,000,00,11,0,0,0,0
199,199,0,3abfd60d,9c4a,212a,000,00,11,0,0,0,0
200,200,0,3abfd60d,9c4a,212a,000,00,11,0,0,0,0
201,201,0,3abfd60d,9c4a,212a,000,00,11,0,0,0,0
202,202,0,3abfdf19,9c4a,212a,000,00,11,0,0,0,0
203,203,0,3abfdf19,9c4a,2924,000,00,11,0,1,0,0
204,204,0,3abfdf19,9c4a,204a,000,00,11,0,0,0,0
205,205,0,3abfdf19,9c4a,1a91,000,00,11,0,0,0,0
206,206,0,3abfdf19,9c4a,20f4,000,00,11,0,0,0,0
207,207,0,3abfdf19,9c4a,98a6,000,00,11,0,0,0,0
