Sample in Buffer,Sample in Window,TRIGGER,top_i/DataPath_xN_0/U0/coreArea_3_core/axi/int_bus_payload_tuser[5:0],top_i/DataPath_xN_0/U0/coreArea_3_core/ln/rmsNorm/rsqrtIn_payload[31:0],top_i/DataPath_xN_0/U0/coreArea_3_core/ln/rmsNorm/io_toBeNorm_payload[15:0],top_i/DataPath_xN_0/U0/coreArea_3_core/ln/rmsNorm/io_normOut_payload[15:0],top_i/DataPath_xN_0/U0/coreArea_3_core/stateGen_4/status_layerCnt[4:0],top_i/DataPath_xN_0/U0/coreArea_3_core/stateGen_4/status_token[9:0],top_i/DataPath_xN_0/U0/coreArea_3_core/ln/rmsNorm/io_normOut_valid,top_i/DataPath_xN_0/U0/coreArea_3_core/ln/rmsNorm/io_toBeNorm_valid,top_i/DataPath_xN_0/U0/coreArea_3_core/ln/rmsNorm/isAttnLn,top_i/DataPath_xN_0/U0/coreArea_3_core/ln/rmsNorm/rsqrtIn_valid
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,05,3d631aaf,2cdd,aa48,01,000,0,1,1,0
1,1,0,05,3d634f3f,b641,aa48,01,000,0,1,1,0
2,2,0,05,3d637e15,b731,aa48,01,000,0,1,1,0
3,3,0,05,3d63a9df,b7f0,aa48,01,000,0,1,1,0
4,4,0,05,3d63aaac,adc1,aa48,01,000,0,1,1,0
5,5,0,05,3d63de38,3727,aa48,01,000,0,1,1,0
6,6,0,05,3d641427,b748,aa48,01,000,0,1,1,0
7,7,0,05,3d644e5a,b907,aa48,01,000,0,1,1,0
8,8,0,05,3d644e80,a63b,aa48,01,000,0,1,1,0
9,9,0,05,3d647e4e,b5eb,aa48,01,000,0,1,1,0
10,10,0,05,3d64bcff,b727,aa48,01,000,0,1,1,0
11,11,0,05,3d64ffe8,b907,aa48,01,000,0,0,1,0
12,12,0,05,3d6500c5,b907,aa48,01,000,0,0,1,0
13,13,0,05,3d65299c,b907,aa48,01,000,0,0,1,0
14,14,0,05,3d654898,b907,aa48,01,000,0,0,1,0
15,15,0,05,3d65873a,b907,aa48,01,000,0,0,1,0
16,16,0,05,3d6587bf,b907,aa48,01,000,0,0,1,0
17,17,0,05,3d65b3d8,b907,aa48,01,000,0,0,1,0
18,18,0,05,3d65e019,b907,aa48,01,000,0,0,1,0
19,19,0,05,3d660d30,b907,aa48,01,000,0,0,1,0
20,20,0,05,3d660fe3,b907,aa48,01,000,0,0,1,0
21,21,0,05,3d6640b9,b907,aa48,01,000,0,0,1,0
22,22,0,05,3d667953,b907,aa48,01,000,0,0,1,0
23,23,0,05,3d66a7a1,b907,aa48,01,000,0,0,1,0
24,24,0,05,3d66a8e0,b907,aa48,01,000,0,0,1,0
25,25,0,05,3d66d292,b907,aa48,01,000,0,0,1,0
26,26,0,05,3d670108,b907,aa48,01,000,0,0,1,0
27,27,0,05,3d6745df,b907,aa48,01,000,0,0,1,0
28,28,0,05,3d674621,b907,aa48,01,000,0,0,1,0
29,29,0,05,3d67642a,b907,aa48,01,000,0,0,1,0
30,30,0,05,3d67919f,b907,aa48,01,000,0,0,1,0
31,31,0,05,3d67f03b,b907,aa48,01,000,0,0,1,0
32,32,0,05,3d67f1b5,b907,aa48,01,000,0,0,1,0
33,33,0,05,3d6818d1,296b,aa48,01,000,0,1,1,0
34,34,0,05,3d684c89,400c,aa48,01,000,0,1,1,0
35,35,0,05,3d688b8a,ab5f,aa48,01,000,0,1,1,0
36,36,0,05,3d688d9c,328a,aa48,01,000,0,1,1,0
37,37,0,05,3d68c0c3,1f3a,aa48,01,000,0,1,1,0
38,38,0,05,3d68f5c8,3abf,aa48,01,000,0,1,1,0
39,39,0,05,3d695ae1,aa44,aa48,01,000,0,1,1,0
40,40,0,05,3d695b07,29eb,aa48,01,000,0,1,1,0
41,41,0,05,3d697e0d,2706,aa48,01,000,0,1,1,0
42,42,0,05,3d69b135,3de7,aa48,01,000,0,1,1,0
43,43,0,05,3d69b135,298a,aa48,01,000,0,1,1,0
44,44,0,05,3d69b135,346d,aa48,01,000,0,1,1,0
45,45,0,05,3d69b135,aa05,aa48,01,000,0,1,1,0
46,46,0,05,3d69b135,40f8,aa48,01,000,0,1,1,0
47,47,0,05,3d69b135,aad2,aa48,01,000,0,1,1,0
48,48,0,05,3d69b135,3226,aa48,01,000,0,1,1,0
49,49,0,05,3d69b135,aa08,aa48,01,000,0,1,1,0
50,50,0,05,3d69b135,3f49,aa48,01,000,0,1,1,0
51,51,0,05,3d69b135,aa8f,aa48,01,000,0,1,1,0
52,52,0,05,3d69b135,335b,aa48,01,000,0,1,1,0
53,53,0,05,3d69b135,2dbe,aa48,01,000,0,1,1,0
54,54,0,05,3d69b135,3f9e,aa48,01,000,0,1,1,0
55,55,0,05,3d69b135,ad24,aa48,01,000,0,1,1,0
56,56,0,05,3d69b135,31b3,aa48,01,000,0,1,1,0
57,57,0,05,3d69b135,aabb,aa48,01,000,0,1,1,0
58,58,0,05,3d69b135,4024,aa48,01,000,0,1,1,0
59,59,0,05,3d69b135,ae29,aa48,01,000,0,1,1,0
60,60,0,05,3d69b135,31b4,aa48,01,000,0,1,1,0
