Sample in Buffer,Sample in Window,TRIGGER,top_i/DataPath_xN_0/U0/coreArea_0_core/axi/int_bus_payload_tuser[5:0],top_i/DataPath_xN_0/U0/coreArea_0_core/engine/scalarOut_tuser[5:0],top_i/DataPath_xN_0/U0/coreArea_0_core/node/node/io_from_payload_tdest[1:0],top_i/DataPath_xN_0/U0/coreArea_0_core/axi/int_bus_payload_last,top_i/DataPath_xN_0/U0/coreArea_0_core/axi/int_bus_ready,top_i/DataPath_xN_0/U0/coreArea_0_core/axi/int_bus_valid,top_i/DataPath_xN_0/U0/coreArea_0_core/node/node/io_from_payload_last,top_i/DataPath_xN_0/U0/coreArea_0_core/node/node/io_from_valid,top_i/DataPath_xN_0/U0/coreArea_0_core/node/node/io_input_valid,top_i/DataPath_xN_0/U0/coreArea_0_core/node/node/multiCore_hit_0,top_i/DataPath_xN_0/U0/coreArea_0_core/node/node/multiCore_hit_1,top_i/DataPath_xN_0/U0/coreArea_0_core/node/node/multiCore_hit_2,top_i/DataPath_xN_0/U0/coreArea_0_core/node/node/multiCore_hit_3,top_i/DataPath_xN_0/U0/coreArea_0_core/engine/scalarOut_tvalid,top_i/DataPath_xN_0/U0/coreArea_0_core/stateGen_4/status_prefill,top_i/DataPath_xN_0/U0/coreArea_0_core/stateGen_4/status_token[9:0],top_i/DataPath_xN_0/U0/coreArea_0_core/stateGen_4/status_layerCnt[4:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
56,56,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
57,57,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
58,58,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
59,59,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
60,60,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
61,61,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
62,62,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
63,63,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
64,64,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
65,65,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
66,66,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
67,67,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
68,68,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
69,69,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
70,70,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
71,71,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
72,72,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
73,73,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
74,74,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
75,75,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
76,76,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
77,77,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
78,78,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
79,79,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
80,80,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
81,81,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
82,82,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
83,83,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
84,84,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
85,85,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
86,86,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
87,87,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
88,88,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
89,89,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
90,90,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
91,91,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
92,92,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
93,93,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
94,94,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
95,95,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
96,96,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
97,97,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
98,98,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
99,99,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
100,100,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
101,101,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
102,102,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
103,103,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
104,104,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
105,105,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
106,106,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
107,107,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
108,108,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
109,109,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
110,110,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
111,111,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
112,112,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
113,113,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
114,114,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
115,115,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
116,116,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
117,117,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
118,118,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
119,119,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
120,120,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
121,121,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
122,122,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
123,123,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
124,124,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
125,125,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
126,126,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
127,127,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
128,128,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
129,129,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
130,130,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
131,131,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
132,132,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
133,133,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
134,134,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
135,135,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
136,136,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
137,137,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
138,138,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
139,139,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
140,140,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
141,141,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
142,142,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
143,143,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
144,144,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
145,145,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
146,146,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
147,147,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
148,148,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
149,149,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
150,150,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
151,151,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
152,152,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
153,153,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
154,154,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
155,155,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
156,156,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
157,157,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
158,158,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
159,159,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
160,160,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
161,161,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
162,162,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
163,163,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
164,164,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
165,165,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
166,166,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
167,167,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
168,168,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
169,169,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
170,170,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
171,171,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
172,172,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
173,173,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
174,174,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
175,175,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
176,176,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
177,177,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
178,178,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
179,179,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
180,180,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
181,181,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
182,182,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
183,183,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
184,184,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
185,185,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
186,186,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
187,187,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
188,188,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
189,189,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
190,190,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
191,191,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
192,192,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
193,193,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
194,194,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
195,195,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
196,196,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
197,197,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
198,198,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
199,199,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
200,200,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
201,201,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
202,202,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
203,203,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
204,204,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
205,205,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
206,206,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
207,207,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
208,208,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
209,209,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
210,210,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
211,211,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
212,212,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
213,213,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
214,214,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
215,215,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
216,216,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
217,217,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
218,218,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
219,219,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
220,220,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
221,221,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
222,222,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
223,223,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
224,224,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
225,225,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
226,226,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
227,227,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
228,228,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
229,229,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
230,230,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
231,231,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
232,232,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
233,233,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
234,234,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
235,235,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
236,236,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
237,237,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
238,238,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
239,239,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
240,240,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
241,241,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
242,242,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
243,243,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
244,244,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
245,245,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
246,246,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
247,247,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
248,248,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
249,249,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
250,250,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
251,251,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
252,252,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
253,253,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
254,254,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
255,255,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
256,256,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
257,257,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
258,258,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
259,259,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
260,260,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
261,261,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
262,262,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
263,263,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
264,264,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
265,265,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
266,266,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
267,267,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
268,268,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
269,269,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
270,270,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
271,271,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
272,272,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
273,273,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
274,274,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
