Sample in Buffer,Sample in Window,TRIGGER,top_i/DataPath_xN_0/U0/coreArea_3_core/axi/int_bus_payload_tuser[5:0],top_i/DataPath_xN_0/U0/coreArea_3_core/ln/rmsNorm/rsqrtIn_payload[31:0],top_i/DataPath_xN_0/U0/coreArea_3_core/ln/rmsNorm/io_toBeNorm_payload[15:0],top_i/DataPath_xN_0/U0/coreArea_3_core/ln/rmsNorm/io_normOut_payload[15:0],top_i/DataPath_xN_0/U0/coreArea_3_core/stateGen_4/status_layerCnt[4:0],top_i/DataPath_xN_0/U0/coreArea_3_core/stateGen_4/status_token[9:0],top_i/DataPath_xN_0/U0/coreArea_3_core/ln/rmsNorm/io_normOut_valid,top_i/DataPath_xN_0/U0/coreArea_3_core/ln/rmsNorm/io_toBeNorm_valid,top_i/DataPath_xN_0/U0/coreArea_3_core/ln/rmsNorm/isAttnLn,top_i/DataPath_xN_0/U0/coreArea_3_core/ln/rmsNorm/rsqrtIn_valid
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,0b,3abf57a3,1dbc,2028,00,000,0,1,0,0
1,1,0,0b,3abf57a3,a40e,2028,00,000,0,0,0,0
2,2,0,0b,3abf57a3,a40e,2028,00,000,0,0,0,0
3,3,0,0b,3abf57a3,a40e,2028,00,000,0,0,0,0
4,4,0,0b,3abf57a3,a40e,2028,00,000,0,0,0,0
5,5,0,0b,3abf57a3,a40e,2028,00,000,0,0,0,0
6,6,0,0b,3abf57a3,a40e,2028,00,000,0,0,0,0
7,7,0,0b,3abf57a3,a40e,2028,00,000,0,0,0,0
8,8,0,0b,3abf5e4f,a3ca,2028,00,000,0,1,0,0
9,9,0,0b,3abf5e4f,a40e,2028,00,000,0,0,0,0
10,10,0,0b,3abf5e4f,a40e,2028,00,000,0,0,0,0
11,11,0,0b,3abf5e4f,a40e,2028,00,000,0,0,0,0
12,12,0,0b,3abf5e4f,a40e,2028,00,000,0,0,0,0
13,13,0,0b,3abf5e4f,a40e,2028,00,000,0,0,0,0
14,14,0,0b,3abf5e4f,a40e,2028,00,000,0,0,0,0
15,15,0,0b,3abf5e4f,a40e,2028,00,000,0,0,0,0
16,16,0,0b,3abf5e55,a40e,2028,00,000,0,0,0,0
17,17,0,0b,3abf5e55,a40e,2028,00,000,0,0,0,0
18,18,0,0b,3abf5e55,a40e,2028,00,000,0,0,0,0
19,19,0,0b,3abf5e55,a40e,2028,00,000,0,0,0,0
20,20,0,0b,3abf5e55,a40e,2028,00,000,0,0,0,0
21,21,0,0b,3abf5e55,9f47,2028,00,000,0,0,0,0
22,22,0,0b,3abf5e55,25c3,2028,00,000,0,0,0,0
23,23,0,0b,3abf5e55,a0cc,2028,00,000,0,0,0,0
24,24,0,0b,3abf5fb8,14a0,2028,00,000,0,0,0,0
25,25,0,0b,3abf5fb8,14a0,2028,00,000,0,0,0,0
26,26,0,0b,3abf5fb8,14a0,2028,00,000,0,0,0,0
27,27,0,0b,3abf5fb8,14a0,2028,00,000,0,0,0,0
28,28,0,0b,3abf5fb8,14a0,2028,00,000,0,0,0,0
29,29,0,0b,3abf5fb8,14a0,2028,00,000,0,0,0,0
30,30,0,0b,3abf5fb8,14a0,2028,00,000,0,0,0,0
31,31,0,0b,3abf5fb8,14a0,2028,00,000,0,0,0,0
32,32,0,0b,3abf5ffa,a4fc,2028,00,000,0,0,0,0
33,33,0,0b,3abf5ffa,21d4,2028,00,000,0,0,0,0
34,34,0,0b,3abf5ffa,a771,2028,00,000,0,0,0,0
35,35,0,0b,3abf5ffa,28aa,2028,00,000,0,0,0,0
36,36,0,0b,3abf5ffa,a08d,2028,00,000,0,0,0,0
37,37,0,0b,3abf5ffa,28bf,2028,00,000,0,0,0,0
38,38,0,0b,3abf5ffa,a95f,2028,00,000,0,0,0,0
39,39,0,0b,3abf5ffa,a63a,2028,00,000,0,0,0,0
40,40,0,0b,3abf61df,2867,2028,00,000,0,0,0,0
41,41,0,0b,3abf61df,a7df,2028,00,000,0,0,0,0
42,42,0,0b,3abf61df,21fa,2028,00,000,0,0,0,0
43,43,0,0b,3abf61df,24e1,2028,00,000,0,0,0,0
44,44,0,0b,3abf61df,a226,2028,00,000,0,0,0,0
45,45,0,0b,3abf61df,25ec,2028,00,000,0,0,0,0
46,46,0,0b,3abf61df,27fc,2028,00,000,0,0,0,0
47,47,0,0b,3abf61df,a317,2028,00,000,0,0,0,0
48,48,0,0b,3abf61df,a2e1,2028,00,000,0,1,0,0
49,49,0,0b,3abf61df,9c6a,2028,00,000,0,0,0,0
50,50,0,0b,3abf61df,9ea1,2028,00,000,0,0,0,0
51,51,0,0b,3abf61df,9b21,2028,00,000,0,0,0,0
52,52,0,0b,3abf61df,210d,2028,00,000,0,1,0,0
53,53,0,0b,3abf61df,255a,2028,00,000,0,0,0,0
54,54,0,0b,3abf61df,1c05,2028,00,000,0,0,0,0
55,55,0,0b,3abf61df,289e,2028,00,000,0,0,0,0
56,56,0,0b,3abf61df,1d50,2028,00,000,0,1,0,0
57,57,0,0b,3abf61df,a8c0,2028,00,000,0,0,0,0
58,58,0,0b,3abf61df,2544,2028,00,000,0,0,0,0
59,59,0,0b,3abf61df,289e,2028,00,000,0,0,0,0
60,60,0,0b,3abf61df,a228,2028,00,000,0,1,0,0
61,61,0,0b,3abf61df,289e,2028,00,000,0,0,0,0
62,62,0,0b,3abf61df,289e,2028,00,000,0,0,0,0
63,63,0,0b,3abf61df,08ed,2028,00,000,0,0,0,0
64,64,0,0b,3abf61df,1f7a,2028,00,000,0,1,0,0
65,65,0,0b,3abf61df,1931,2028,00,000,0,0,0,0
66,66,0,0b,3abf61df,a2f6,2028,00,000,0,0,0,0
67,67,0,0b,3abf61df,08ed,2028,00,000,0,0,0,0
68,68,0,0b,3abf61df,20d0,2028,00,000,0,1,0,0
69,69,0,0b,3abf61df,08ed,2028,00,000,0,0,0,0
70,70,0,0b,3abf61df,08ed,2028,00,000,0,0,0,0
71,71,0,0b,3abf61df,9dea,2028,00,000,0,0,0,0
72,72,0,0b,3abf61df,29a0,2028,00,000,0,1,0,0
73,73,0,0b,3abf61df,96ac,2028,00,000,0,0,0,0
74,74,0,0b,3abf61df,a39e,2028,00,000,0,0,0,0
75,75,0,0b,3abf61df,9dea,2028,00,000,0,0,0,0
76,76,0,0b,3abf61df,98b6,2028,00,000,0,0,0,0
77,77,0,0b,3abf61df,0000,2028,00,000,0,0,0,0
78,78,0,0b,3abf61df,254f,2028,00,000,0,0,0,0
79,79,0,0b,3abf61df,2435,2028,00,000,0,0,0,0
80,80,0,0b,3abf635a,ab03,2028,00,000,0,1,0,0
81,81,0,0b,3abf635a,98b6,2028,00,000,0,0,0,0
82,82,0,0b,3abf635a,98b6,2028,00,000,0,0,0,0
83,83,0,0b,3abf635a,98b6,2028,00,000,0,0,0,0
84,84,0,0b,3abf6426,a0a5,2028,00,000,0,0,0,0
85,85,0,0b,3abf6426,a7e4,2028,00,000,0,0,0,0
86,86,0,0b,3abf6426,98a2,2028,00,000,0,0,0,0
87,87,0,0b,3abf6426,a46c,2028,00,000,0,0,0,0
88,88,0,0b,3abf645f,a8f3,2028,00,000,0,1,0,0
89,89,0,0b,3abf645f,a0a5,2028,00,000,0,0,0,0
90,90,0,0b,3abf645f,a0a5,2028,00,000,0,0,0,0
91,91,0,0b,3abf645f,a0a5,2028,00,000,0,0,0,0
92,92,0,0b,3abf658e,a0a5,2028,00,000,0,0,0,0
93,93,0,0b,3abf658e,a4d0,2028,00,000,0,1,0,0
94,94,0,0b,3abf658e,a4c5,2028,00,000,0,0,0,0
95,95,0,0b,3abf658e,265c,2028,00,000,0,0,0,0
96,96,0,0b,3abf65fe,a761,2028,00,000,0,0,0,0
97,97,0,0b,3abf65fe,2594,2028,00,000,0,0,0,0
98,98,0,0b,3abf65fe,a4c5,2028,00,000,0,0,0,0
99,99,0,0b,3abf65fe,a4c5,2028,00,000,0,0,0,0
100,100,0,0b,3abf66b7,a4c5,2028,00,000,0,0,0,0
101,101,0,0b,3abf66b7,9994,2028,00,000,0,1,0,0
102,102,0,0b,3abf66b7,236d,2028,00,000,0,0,0,0
103,103,0,0b,3abf66b7,a4cc,2028,00,000,0,0,0,0
104,104,0,0b,3abf7689,1c8b,2028,00,000,0,0,0,0
105,105,0,0b,3abf7689,9892,2028,00,000,0,0,0,0
106,106,0,0b,3abf7689,236d,2028,00,000,0,0,0,0
107,107,0,0b,3abf7689,236d,2028,00,000,0,0,0,0
108,108,0,0b,3abf7689,236d,2028,00,000,0,0,0,0
109,109,0,0b,3abf7689,236d,2028,00,000,0,0,0,0
110,110,0,0b,3abf7689,236d,2028,00,000,0,0,0,0
111,111,0,0b,3abf7689,a2d2,2028,00,000,0,1,0,0
112,112,0,0b,3abf8f1e,a0dd,2028,00,000,0,0,0,0
113,113,0,0b,3abf8f1e,1fde,2028,00,000,0,0,0,0
114,114,0,0b,3abf8f1e,9f72,2028,00,000,0,0,0,0
115,115,0,0b,3abf8f1e,a303,2028,00,000,0,0,0,0
116,116,0,0b,3abf8f1e,a303,2028,00,000,0,0,0,0
117,117,0,0b,3abf8f1e,a303,2028,00,000,0,0,0,0
118,118,0,0b,3abf8f1e,a303,2028,00,000,0,0,0,0
119,119,0,0b,3abf8f1e,a1c5,2028,00,000,0,1,0,0
120,120,0,0b,3abf9b5d,a41e,2028,00,000,0,0,0,0
121,121,0,0b,3abf9b5d,a61a,2028,00,000,0,0,0,0
122,122,0,0b,3abf9b5d,24b7,2028,00,000,0,0,0,0
123,123,0,0b,3abf9b5d,8972,2028,00,000,0,0,0,0
124,124,0,0b,3abf9b5d,8972,2028,00,000,0,0,0,0
125,125,0,0b,3abf9e42,9f06,2028,00,000,0,0,0,0
126,126,0,0b,3abf9e42,a006,2028,00,000,0,0,0,0
127,127,0,0b,3abf9e42,a433,2028,00,000,0,0,0,0
128,128,0,0b,3abf9e42,a55f,2028,00,000,0,1,0,0
129,129,0,0b,3abf9e42,9f06,2028,00,000,0,0,0,0
130,130,0,0b,3abf9e42,9f06,2028,00,000,0,0,0,0
131,131,0,0b,3abf9e42,9f06,2028,00,000,0,0,0,0
132,132,0,0b,3abf9e42,9f06,2028,00,000,0,0,0,0
133,133,0,0b,3abf9e52,9f06,2028,00,000,0,0,0,0
134,134,0,0b,3abf9e52,9f06,2028,00,000,0,0,0,0
135,135,0,0b,3abf9e52,9f06,2028,00,000,0,0,0,0
136,136,0,0b,3abf9e52,a40d,2028,00,000,0,1,0,0
137,137,0,0b,3abf9e52,250e,2028,00,000,0,0,0,0
138,138,0,0b,3abf9e52,a554,2028,00,000,0,0,0,0
139,139,0,0b,3abf9e52,a8c8,2028,00,000,0,0,0,0
140,140,0,0b,3abf9e52,a555,2028,00,000,0,0,0,0
141,141,0,0b,3abf9e52,a555,2028,00,000,0,0,0,0
142,142,0,0b,3abf9e52,a527,2028,00,000,0,1,0,0
143,143,0,0b,3abf9fc6,a0da,2028,00,000,0,0,0,0
144,144,0,0b,3abf9fc6,2514,2028,00,000,0,0,0,0
145,145,0,0b,3abf9fc6,1892,2028,00,000,0,0,0,0
146,146,0,0b,3abf9fc6,2bea,2028,00,000,0,0,0,0
147,147,0,0b,3abf9fc6,a0da,2028,00,000,0,0,0,0
148,148,0,0b,3abf9fc6,a0da,2028,00,000,0,0,0,0
149,149,0,0b,3abf9fc6,a0da,2028,00,000,0,0,0,0
150,150,0,0b,3abf9fc6,a0da,2028,00,000,0,0,0,0
151,151,0,0b,3abfa0d0,a0da,2028,00,000,0,0,0,0
152,152,0,0b,3abfa0d0,a0da,2028,00,000,0,0,0,0
153,153,0,0b,3abfa0d0,ab26,2028,00,000,0,1,0,0
154,154,0,0b,3abfa0d0,a8e3,2028,00,000,0,0,0,0
155,155,0,0b,3abfa0d0,15ce,2028,00,000,0,0,0,0
156,156,0,0b,3abfa0d0,2736,2028,00,000,0,0,0,0
157,157,0,0b,3abfa0d0,1f8a,2028,00,000,0,0,0,0
158,158,0,0b,3abfa0d0,1f8a,2028,00,000,0,0,0,0
159,159,0,0b,3abfa0d0,1f8a,2028,00,000,0,0,0,0
160,160,0,0b,3abfa46b,aa1e,2028,00,000,0,1,0,0
161,161,0,0b,3abfa46b,28f5,2028,00,000,0,0,0,0
162,162,0,0b,3abfa46b,248a,2028,00,000,0,0,0,0
163,163,0,0b,3abfa46b,9dd2,2028,00,000,0,0,0,0
164,164,0,0b,3abfa46b,21ce,2028,00,000,0,0,0,0
165,165,0,0b,3abfa46b,28f5,2028,00,000,0,0,0,0
166,166,0,0b,3abfa46b,28f5,2028,00,000,0,0,0,0
167,167,0,0b,3abfa46b,28f5,2028,00,000,0,0,0,0
168,168,0,0b,3abfa679,28f5,2028,00,000,0,0,0,0
169,169,0,0b,3abfa679,28f5,2028,00,000,0,0,0,0
170,170,0,0b,3abfa679,2841,2028,00,000,0,1,0,0
171,171,0,0b,3abfa679,a3fa,2028,00,000,0,0,0,0
172,172,0,0b,3abfa679,939b,2028,00,000,0,0,0,0
173,173,0,0b,3abfa679,27b2,2028,00,000,0,0,0,0
174,174,0,0b,3abfa9ca,8e49,2028,00,000,0,0,0,0
175,175,0,0b,3abfa9ca,8e49,2028,00,000,0,0,0,0
176,176,0,0b,3abfa9ca,8e49,2028,00,000,0,0,0,0
177,177,0,0b,3abfa9ca,8e49,2028,00,000,0,0,0,0
178,178,0,0b,3abfa9ca,2d81,2028,00,000,0,1,0,0
179,179,0,0b,3abfa9ca,2637,2028,00,000,0,0,0,0
