Sample in Buffer,Sample in Window,TRIGGER,top_i/DataPath_xN_0/U0/coreArea_3_core/axi/int_bus_payload_tuser[5:0],top_i/DataPath_xN_0/U0/coreArea_3_core/ln/rmsNorm/rsqrtIn_payload[31:0],top_i/DataPath_xN_0/U0/coreArea_3_core/ln/rmsNorm/io_toBeNorm_payload[15:0],top_i/DataPath_xN_0/U0/coreArea_3_core/ln/rmsNorm/io_normOut_payload[15:0],top_i/DataPath_xN_0/U0/coreArea_3_core/stateGen_4/status_layerCnt[4:0],top_i/DataPath_xN_0/U0/coreArea_3_core/stateGen_4/status_token[9:0],top_i/DataPath_xN_0/U0/coreArea_3_core/ln/rmsNorm/io_normOut_valid,top_i/DataPath_xN_0/U0/coreArea_3_core/ln/rmsNorm/io_toBeNorm_valid,top_i/DataPath_xN_0/U0/coreArea_3_core/ln/rmsNorm/isAttnLn,top_i/DataPath_xN_0/U0/coreArea_3_core/ln/rmsNorm/rsqrtIn_valid
180,180,0,0b,3abfa9ca,23eb,2028,00,000,0,0,0,0
181,181,0,0b,3abfa9ca,2446,2028,00,000,0,0,0,0
182,182,0,0b,3abfa9ca,a750,2028,00,000,0,0,0,0
183,183,0,0b,3abfa9ca,a750,2028,00,000,0,0,0,0
184,184,0,0b,3abfa9ca,a750,2028,00,000,0,0,0,0
185,185,0,0b,3abfc357,a750,2028,00,000,0,0,0,0
186,186,0,0b,3abfc357,21df,2028,00,000,0,0,0,0
187,187,0,0b,3abfc357,a147,2028,00,000,0,1,0,0
188,188,0,0b,3abfc357,946a,2028,00,000,0,0,0,0
189,189,0,0b,3abfc357,9e5c,2028,00,000,0,0,0,0
190,190,0,0b,3abfc357,21df,2028,00,000,0,0,0,0
191,191,0,0b,3abfc357,21df,2028,00,000,0,0,0,0
192,192,0,0b,3abfd60d,21df,2028,00,000,0,0,0,0
193,193,0,0b,3abfd60d,21df,2028,00,000,0,0,0,0
194,194,0,0b,3abfd60d,21df,2028,00,000,0,0,0,0
195,195,0,0b,3abfd60d,265c,2028,00,000,0,1,0,0
196,196,0,0b,3abfd60d,a5e0,2028,00,000,0,0,0,0
197,197,0,0b,3abfd60d,9d26,2028,00,000,0,0,0,0
198,198,0,0b,3abfd60d,a1d9,2028,00,000,0,0,0,0
199,199,0,0b,3abfd60d,212a,2028,00,000,0,0,0,0
200,200,0,0b,3abfd60d,212a,2028,00,000,0,0,0,0
201,201,0,0b,3abfd60d,212a,2028,00,000,0,0,0,0
202,202,0,0b,3abfdf19,212a,2028,00,000,0,0,0,0
203,203,0,0b,3abfdf19,2924,2028,00,000,0,1,0,0
204,204,0,0b,3abfdf19,204a,2028,00,000,0,0,0,0
205,205,0,0b,3abfdf19,1a91,2028,00,000,0,0,0,0
206,206,0,0b,3abfdf19,20f4,2028,00,000,0,0,0,0
207,207,0,0b,3abfdf19,98a6,2028,00,000,0,0,0,0
208,208,0,0b,3abfdf19,98a6,2028,00,000,0,0,0,0
209,209,0,0b,3abfdf19,98a6,2028,00,000,0,0,0,0
210,210,0,0b,3ac01baf,98a6,2028,00,000,0,0,0,0
211,211,0,0b,3ac01baf,22f3,2028,00,000,0,0,0,0
212,212,0,0b,3ac01baf,a528,2028,00,000,0,1,0,0
213,213,0,0b,3ac01baf,9c7f,2028,00,000,0,0,0,0
214,214,0,0b,3ac01baf,a32e,2028,00,000,0,0,0,0
215,215,0,0b,3ac01baf,22f3,2028,00,000,0,0,0,0
216,216,0,0b,3ac01baf,22f3,2028,00,000,0,0,0,0
217,217,0,0b,3ac01baf,22f3,2028,00,000,0,0,0,0
218,218,0,0b,3ac01baf,22f3,2028,00,000,0,0,0,0
219,219,0,0b,3ac01c8e,1ffe,2028,00,000,0,0,0,0
220,220,0,0b,3ac01c8e,a14b,2028,00,000,0,1,0,0
221,221,0,0b,3ac01c8e,1dd5,2028,00,000,0,0,0,0
222,222,0,0b,3ac01c8e,1f81,2028,00,000,0,0,0,0
223,223,0,0b,3ac01c8e,1ffe,2028,00,000,0,0,0,0
224,224,0,0b,3ac01c8e,1ffe,2028,00,000,0,0,0,0
225,225,0,0b,3ac01c8e,1ffe,2028,00,000,0,0,0,0
226,226,0,0b,3ac01c8e,1ffe,2028,00,000,0,0,0,0
227,227,0,0b,3ac0219c,a0c5,2028,00,000,0,0,0,0
228,228,0,0b,3ac0219c,2b24,2028,00,000,0,1,0,0
229,229,0,0b,3ac0219c,a136,2028,00,000,0,0,0,0
230,230,0,0b,3ac0219c,2c40,2028,00,000,0,0,0,0
231,231,0,0b,3ac0219c,a0c5,2028,00,000,0,0,0,0
232,232,0,0b,3ac0219c,a0c5,2028,00,000,0,0,0,0
233,233,0,0b,3ac0219c,a0c5,2028,00,000,0,0,0,0
234,234,0,0b,3ac0219c,a0c5,2028,00,000,0,0,0,0
235,235,0,0b,3ac02ed2,1226,2028,00,000,0,0,0,0
236,236,0,0b,3ac02ed2,9fbc,2028,00,000,0,1,0,0
237,237,0,0b,3ac02ed2,1c4a,2028,00,000,0,0,0,0
238,238,0,0b,3ac02ed2,a62f,2028,00,000,0,0,0,0
239,239,0,0b,3ac02ed2,1226,2028,00,000,0,0,0,0
240,240,0,0b,3ac02ed2,1226,2028,00,000,0,0,0,0
241,241,0,0b,3ac02ed2,1226,2028,00,000,0,0,0,0
242,242,0,0b,3ac02ed2,1226,2028,00,000,0,0,0,0
243,243,0,0b,3ac02ed2,1ba6,2028,00,000,0,0,0,0
244,244,0,0b,3ac03225,28a1,2028,00,000,0,1,0,0
245,245,0,0b,3ac03225,a7cb,2028,00,000,0,0,0,0
246,246,0,0b,3ac03225,233f,2028,00,000,0,0,0,0
247,247,0,0b,3ac03225,1ba6,2028,00,000,0,0,0,0
248,248,0,0b,3ac03225,1ba6,2028,00,000,0,0,0,0
249,249,0,0b,3ac03225,1ba6,2028,00,000,0,0,0,0
250,250,0,0b,3ac03225,1ba6,2028,00,000,0,0,0,0
251,251,0,0b,3ac03225,17dd,2028,00,000,0,0,0,0
252,252,0,0b,3ac03305,29e9,2028,00,000,0,1,0,0
253,253,0,0b,3ac03305,a299,2028,00,000,0,0,0,0
254,254,0,0b,3ac03305,20f0,2028,00,000,0,0,0,0
255,255,0,0b,3ac03305,17dd,2028,00,000,0,0,0,0
256,256,0,0b,3ac03305,17dd,2028,00,000,0,0,0,0
257,257,0,0b,3ac03305,17dd,2028,00,000,0,0,0,0
258,258,0,0b,3ac03305,17dd,2028,00,000,0,0,0,0
259,259,0,0b,3ac03305,a23f,2028,00,000,0,0,0,0
260,260,0,0b,3ac04c84,2832,2028,00,000,0,1,0,0
261,261,0,0b,3ac04c84,a299,2028,00,000,0,0,0,0
262,262,0,0b,3ac04c84,a299,2028,00,000,0,0,0,0
263,263,0,0b,3ac04c84,a299,2028,00,000,0,0,0,0
264,264,0,0b,3ac04c84,a299,2028,00,000,0,0,0,0
265,265,0,0b,3ac04c84,a299,2028,00,000,0,0,0,0
266,266,0,0b,3ac04c84,a299,2028,00,000,0,0,0,0
267,267,0,0b,3ac04c84,a299,2028,00,000,0,0,0,0
268,268,0,0b,3ac04cfb,a01a,2028,00,000,0,1,0,0
269,269,0,0b,3ac04cfb,a299,2028,00,000,0,0,0,0
270,270,0,0b,3ac04cfb,a299,2028,00,000,0,0,0,0
271,271,0,0b,3ac04cfb,a299,2028,00,000,0,0,0,0
272,272,0,0b,3ac04cfb,a299,2028,00,000,0,0,0,0
273,273,0,0b,3ac04cfb,a299,2028,00,000,0,0,0,0
274,274,0,0b,3ac04cfb,a299,2028,00,000,0,0,0,0
275,275,0,0b,3ac04cfb,a299,2028,00,000,0,0,0,0
276,276,0,0b,3ac057b2,a0d9,2028,00,000,0,1,0,0
277,277,0,0b,3ac057b2,a299,2028,00,000,0,0,0,0
278,278,0,0b,3ac057b2,a299,2028,00,000,0,0,0,0
279,279,0,0b,3ac057b2,a299,2028,00,000,0,0,0,0
280,280,0,0b,3ac057b2,a299,2028,00,000,0,0,0,0
281,281,0,0b,3ac057b2,a299,2028,00,000,0,0,0,0
282,282,0,0b,3ac057b2,a299,2028,00,000,0,0,0,0
283,283,0,0b,3ac057b2,a299,2028,00,000,0,0,0,0
284,284,0,0b,3ac06929,a299,2028,00,000,0,0,0,0
285,285,0,0b,3ac06929,a299,2028,00,000,0,0,0,0
286,286,0,0b,3ac06929,a299,2028,00,000,0,0,0,0
287,287,0,0b,3ac06929,a299,2028,00,000,0,0,0,0
288,288,0,0b,3ac06929,a299,2028,00,000,0,0,0,0
289,289,0,0b,3ac06929,0eae,2028,00,000,0,0,0,0
290,290,0,0b,3ac06929,2738,2028,00,000,0,0,0,0
291,291,0,0b,3ac06929,9f8c,2028,00,000,0,0,0,0
292,292,0,0b,3ac071f6,1e1e,2028,00,000,0,0,0,0
293,293,0,0b,3ac071f6,1e1e,2028,00,000,0,0,0,0
294,294,0,0b,3ac071f6,1e1e,2028,00,000,0,0,0,0
295,295,0,0b,3ac071f6,1e1e,2028,00,000,0,0,0,0
296,296,0,0b,3ac071f6,1e1e,2028,00,000,0,0,0,0
297,297,0,0b,3ac071f6,1e1e,2028,00,000,0,0,0,0
298,298,0,0b,3ac071f6,1e1e,2028,00,000,0,0,0,0
299,299,0,0b,3ac071f6,1e1e,2028,00,000,0,0,0,0
300,300,0,0b,3ac0727d,a7e2,2028,00,000,0,0,0,0
301,301,0,0b,3ac0727d,2564,2028,00,000,0,0,0,0
302,302,0,0b,3ac0727d,2913,2028,00,000,0,0,0,0
303,303,0,0b,3ac0727d,a4cb,2028,00,000,0,0,0,0
304,304,0,0b,3ac0727d,a89b,2028,00,000,0,0,0,0
305,305,0,0b,3ac0727d,a2aa,2028,00,000,0,0,0,0
306,306,0,0b,3ac0727d,20d2,2028,00,000,0,0,0,0
307,307,0,0b,3ac0727d,a1f4,2028,00,000,0,0,0,0
308,308,0,0b,3ac07339,1df7,2028,00,000,0,0,0,0
309,309,0,0b,3ac07339,a6ae,2028,00,000,0,0,0,0
310,310,0,0b,3ac07339,2922,2028,00,000,0,0,0,0
311,311,0,0b,3ac07339,a08e,2028,00,000,0,0,0,0
312,312,0,0b,3ac07339,a6ba,2028,00,000,0,0,0,0
313,313,0,0b,3ac07339,23ae,2028,00,000,0,0,0,0
314,314,0,0b,3ac07339,2113,2028,00,000,0,0,0,0
315,315,0,0b,3ac07339,2272,2028,00,000,0,0,0,0
316,316,0,0b,3ac07339,a0e4,2028,00,000,0,1,0,0
317,317,0,0b,3ac07339,a26f,2028,00,000,0,0,0,0
318,318,0,0b,3ac07339,2277,2028,00,000,0,0,0,0
319,319,0,0b,3ac07339,a50a,2028,00,000,0,0,0,0
320,320,0,0b,3ac07339,1e24,2028,00,000,0,1,0,0
321,321,0,0b,3ac07339,23a8,2028,00,000,0,0,0,0
322,322,0,0b,3ac07339,16c0,2028,00,000,0,0,0,0
323,323,0,0b,3ac07339,1f11,2028,00,000,0,0,0,0
324,324,0,0b,3ac07339,a0d0,2028,00,000,0,1,0,0
325,325,0,0b,3ac07339,a545,2028,00,000,0,0,0,0
326,326,0,0b,3ac07339,29d7,2028,00,000,0,0,0,0
327,327,0,0b,3ac07339,1f11,2028,00,000,0,0,0,0
328,328,0,0b,3ac07339,a56b,2028,00,000,0,1,0,0
329,329,0,0b,3ac07339,1f11,2028,00,000,0,0,0,0
330,330,0,0b,3ac07339,1f11,2028,00,000,0,0,0,0
331,331,0,0b,3ac07339,a094,2028,00,000,0,0,0,0
332,332,0,0b,3ac07339,24ad,2028,00,000,0,1,0,0
333,333,0,0b,3ac07339,9b92,2028,00,000,0,0,0,0
334,334,0,0b,3ac07339,a201,2028,00,000,0,0,0,0
335,335,0,0b,3ac07339,a094,2028,00,000,0,0,0,0
336,336,0,0b,3ac07339,a40a,2028,00,000,0,1,0,0
337,337,0,0b,3ac07339,a094,2028,00,000,0,0,0,0
338,338,0,0b,3ac07339,a094,2028,00,000,0,0,0,0
339,339,0,0b,3ac07339,9ac4,2028,00,000,0,0,0,0
340,340,0,0b,3ac07339,9e1f,2028,00,000,0,1,0,0
341,341,0,0b,3ac07339,2715,2028,00,000,0,0,0,0
342,342,0,0b,3ac07339,22e8,2028,00,000,0,0,0,0
343,343,0,0b,3ac07339,9ac4,2028,00,000,0,0,0,0
344,344,0,0b,3ac07339,25bc,2028,00,000,0,0,0,0
345,345,0,0b,3ac07339,a583,2028,00,000,0,0,0,0
346,346,0,0b,3ac07339,1c98,2028,00,000,0,0,0,0
347,347,0,0b,3ac07339,213b,2028,00,000,0,0,0,0
348,348,0,0b,3ac073f8,2522,2028,00,000,0,1,0,0
349,349,0,0b,3ac073f8,25bc,2028,00,000,0,0,0,0
350,350,0,0b,3ac073f8,25bc,2028,00,000,0,0,0,0
351,351,0,0b,3ac073f8,25bc,2028,00,000,0,0,0,0
352,352,0,0b,3ac07443,2105,2028,00,000,0,0,0,0
353,353,0,0b,3ac07443,a91c,2028,00,000,0,0,0,0
354,354,0,0b,3ac07443,982f,2028,00,000,0,0,0,0
355,355,0,0b,3ac07443,a70c,2028,00,000,0,0,0,0
356,356,0,0b,3ac074fd,2460,2028,00,000,0,1,0,0
357,357,0,0b,3ac074fd,2105,2028,00,000,0,0,0,0
358,358,0,0b,3ac074fd,2105,2028,00,000,0,0,0,0
359,359,0,0b,3ac074fd,2105,2028,00,000,0,0,0,0
360,360,0,0b,3ac078a8,2105,2028,00,000,0,0,0,0
361,361,0,0b,3ac078a8,2961,2028,00,000,0,1,0,0
362,362,0,0b,3ac078a8,a874,2028,00,000,0,0,0,0
363,363,0,0b,3ac078a8,2484,2028,00,000,0,0,0,0
364,364,0,0b,3ac07b64,a208,2028,00,000,0,0,0,0
365,365,0,0b,3ac07b64,2119,2028,00,000,0,0,0,0
366,366,0,0b,3ac07b64,a874,2028,00,000,0,0,0,0
367,367,0,0b,3ac07b64,a874,2028,00,000,0,0,0,0
368,368,0,0b,3ac07d6e,a874,2028,00,000,0,0,0,0
369,369,0,0b,3ac07d6e,a3e4,2028,00,000,0,1,0,0
370,370,0,0b,3ac07d6e,2076,2028,00,000,0,0,0,0
371,371,0,0b,3ac07d6e,9438,2028,00,000,0,0,0,0
372,372,0,0b,3ac07db9,9d99,2028,00,000,0,0,0,0
